feature,dtype,numeric_values,missing_values,missing_pct,unique_values,zero_variance,min,max,mean,median
education_less_than_9th_pct,float64,87,21,19.444444444444446,11,False,1.5,7.6,4.377011494252874,3.5
education_9th_to_12th_no_diploma_pct,float64,87,21,19.444444444444446,13,False,2.1,7.4,4.139080459770116,4.3
digital_with_computer_pct,float64,87,21,19.444444444444446,13,False,92.1,97.0,95.83793103448278,95.7
digital_with_broadband_pct,float64,87,21,19.444444444444446,11,False,89.0,94.8,92.97931034482758,92.9
unemployment_pct,float64,87,21,19.444444444444446,9,False,2.9,4.4,3.480459770114942,3.4
public_assistance_pct,float64,87,21,19.444444444444446,11,False,2.5,5.3,3.558620689655173,3.5
uninsured_pct,float64,87,21,19.444444444444446,11,False,1.7,5.4,2.564367816091954,2.5
mean_commute_minutes,float64,87,21,19.444444444444446,11,False,21.2,32.5,29.054022988505746,29.9
housing_vacancy_pct,float64,87,21,19.444444444444446,13,False,4.0,36.4,6.7666666666666675,5.5
housing_no_vehicle_pct,float64,87,21,19.444444444444446,13,False,5.4,31.6,13.422988505747126,10.3
housing_renter_pct,float64,87,21,19.444444444444446,13,False,18.9,63.5,40.096551724137925,37.8
housing_crowded_1_01_to_1_50_pct,float64,87,21,19.444444444444446,10,False,0.6,2.2,1.5229885057471269,1.5
housing_crowded_1_51_plus_pct,float64,87,21,19.444444444444446,8,False,0.2,1.9,0.9413793103448275,0.8
housing_rent_30_to_34_9_pct,float64,87,21,19.444444444444446,11,False,8.9,12.1,10.024137931034483,9.9
housing_rent_35_plus_pct,float64,87,21,19.444444444444446,13,False,37.0,48.8,41.50459770114943,41.1
population_total,float64,87,21,19.444444444444446,13,False,70944.0,1638365.0,932312.7586206896,785121.0
median_age_years,float64,87,21,19.444444444444446,12,False,33.9,55.4,39.37931034482758,38.9
education_high_school_pct,float64,87,21,19.444444444444446,12,False,16.9,30.5,21.47586206896552,20.2
education_college_pct,float64,87,21,19.444444444444446,10,False,10.9,17.9,13.482758620689655,12.0
education_bachelors_or_higher_pct,float64,87,21,19.444444444444446,13,False,29.3,59.5,49.49310344827586,50.6
poverty_pct,float64,87,21,19.444444444444446,11,False,6.7,16.3,10.526436781609195,9.4
median_household_income,float64,87,21,19.444444444444446,13,False,71306.0,130847.0,107430.25287356322,101883.0
places_asthma_pct,float64,87,21,19.444444444444446,10,False,10.7,12.7,11.519540229885058,11.4
places_cholesterol_screening_pct,float64,87,21,19.444444444444446,13,False,87.0,92.9,89.47586206896551,89.7
places_copd_pct,float64,87,21,19.444444444444446,10,False,4.6,7.7,5.608045977011494,5.1
places_diabetes_pct,float64,87,21,19.444444444444446,11,False,8.2,12.1,9.554022988505748,9.3
places_heart_disease_pct,float64,87,21,19.444444444444446,11,False,4.8,8.0,5.566666666666666,5.2
places_obesity_pct,float64,87,21,19.444444444444446,12,False,22.2,34.9,26.7551724137931,24.2
places_physical_inactivity_pct,float64,87,21,19.444444444444446,12,False,17.1,29.8,21.451724137931038,22.2
places_poor_mental_health_pct,float64,87,21,19.444444444444446,13,False,13.8,18.9,16.132183908045977,16.1
places_poor_physical_health_pct,float64,87,21,19.444444444444446,12,False,10.0,16.0,11.875862068965517,11.4
places_routine_checkup_pct,float64,87,21,19.444444444444446,12,False,78.5,85.3,80.48275862068965,80.4
places_smoking_pct,float64,87,21,19.444444444444446,13,False,9.1,15.8,10.816091954022987,11.1
places_stroke_pct,float64,87,21,19.444444444444446,9,False,2.5,3.8,2.8988505747126436,2.8
places_uninsured_pct,float64,87,21,19.444444444444446,13,False,3.6,10.1,5.204597701149425,4.8
state_fips,float64,87,21,19.444444444444446,2,False,25.0,44.0,25.2183908045977,25.0
tract_count,float64,87,21,19.444444444444446,13,False,19.0,357.0,214.4712643678161,191.0
population_2020_sum,float64,87,21,19.444444444444446,13,False,71029.0,1632002.0,931362.459770115,797936.0
households_without_vehicle_count_sum,float64,87,21,19.444444444444446,13,False,2493.0,103374.0,48645.16091954023,29171.0
snap_households_count_sum,float64,87,21,19.444444444444446,13,False,5377.0,64342.0,47918.942528735635,53441.0
driving_low_access_population_beyond_1mi_10mi_count_sum,float64,87,21,19.444444444444446,13,False,6439.0,326094.0,171096.908045977,197944.0
driving_no_vehicle_households_beyond_1mi_count_sum,float64,87,21,19.444444444444446,13,False,451.0,5412.0,3270.390804597701,3196.0
driving_snap_households_beyond_1mi_count_sum,float64,87,21,19.444444444444446,13,False,421.0,10874.0,5637.586206896552,5336.0
straight_low_access_population_beyond_1mi_10mi_count_sum,float64,87,21,19.444444444444446,13,False,233.0,167345.0,89515.0459770115,95275.0
straight_no_vehicle_households_beyond_1mi_count_sum,float64,87,21,19.444444444444446,13,False,22.0,2735.0,1620.655172413793,1761.0
straight_snap_households_beyond_1mi_count_sum,float64,87,21,19.444444444444446,13,False,13.0,6746.0,2986.390804597701,3011.0
urban_tract_count,float64,87,21,19.444444444444446,13,False,10.0,336.0,198.9655172413793,162.0
low_income_tract_tract_count,float64,87,21,19.444444444444446,13,False,9.0,125.0,68.97701149425288,72.0
driving_low_income_low_access_tract_count,float64,87,21,19.444444444444446,8,False,0.0,12.0,5.850574712643678,5.0
driving_low_vehicle_access_tract_count,float64,87,21,19.444444444444446,11,False,4.0,43.0,25.724137931034484,24.0
straight_low_income_low_access_tract_count,float64,87,21,19.444444444444446,6,False,0.0,8.0,2.0804597701149423,2.0
straight_low_vehicle_access_tract_count,float64,87,21,19.444444444444446,9,False,3.0,23.0,12.137931034482758,10.0
