file,rows,columns,has_patient_id,has_start,has_stop,has_code,has_description,columns_list,status
allergies.csv,134,15,True,True,True,True,True,START|STOP|PATIENT|ENCOUNTER|CODE|SYSTEM|DESCRIPTION|TYPE|CATEGORY|REACTION1|DESCRIPTION1|SEVERITY1|REACTION2|DESCRIPTION2|SEVERITY2,readable
careplans.csv,336,9,True,True,True,True,True,Id|START|STOP|PATIENT|ENCOUNTER|CODE|DESCRIPTION|REASONCODE|REASONDESCRIPTION,readable
claims.csv,9995,31,False,False,False,False,False,Id|PATIENTID|PROVIDERID|PRIMARYPATIENTINSURANCEID|SECONDARYPATIENTINSURANCEID|DEPARTMENTID|PATIENTDEPARTMENTID|DIAGNOSIS1|DIAGNOSIS2|DIAGNOSIS3|DIAGNOSIS4|DIAGNOSIS5|DIAGNOSIS6|DIAGNOSIS7|DIAGNOSIS8|REFERRINGPROVIDERID|APPOINTMENTID|CURRENTILLNESSDATE|SERVICEDATE|SUPERVISINGPROVIDERID|STATUS1|STATUS2|STATUSP|OUTSTANDING1|OUTSTANDING2|OUTSTANDINGP|LASTBILLEDDATE1|LASTBILLEDDATE2|LASTBILLEDDATEP|HEALTHCARECLAIMTYPEID1|HEALTHCARECLAIMTYPEID2,readable
claims_transactions.csv,91071,33,False,False,False,False,False,ID|CLAIMID|CHARGEID|PATIENTID|TYPE|AMOUNT|METHOD|FROMDATE|TODATE|PLACEOFSERVICE|PROCEDURECODE|MODIFIER1|MODIFIER2|DIAGNOSISREF1|DIAGNOSISREF2|DIAGNOSISREF3|DIAGNOSISREF4|UNITS|DEPARTMENTID|NOTES|UNITAMOUNT|TRANSFEROUTID|TRANSFERTYPE|PAYMENTS|ADJUSTMENTS|TRANSFERS|OUTSTANDING|APPOINTMENTID|LINENOTE|PATIENTINSURANCEID|FEESCHEDULEID|PROVIDERID|SUPERVISINGPROVIDERID,readable
conditions.csv,3784,7,True,True,True,True,True,START|STOP|PATIENT|ENCOUNTER|SYSTEM|CODE|DESCRIPTION,readable
devices.csv,574,7,True,True,True,True,True,START|STOP|PATIENT|ENCOUNTER|CODE|DESCRIPTION|UDI,readable
encounters.csv,5473,15,True,True,True,True,True,Id|START|STOP|PATIENT|ORGANIZATION|PROVIDER|PAYER|ENCOUNTERCLASS|CODE|DESCRIPTION|BASE_ENCOUNTER_COST|TOTAL_CLAIM_COST|PAYER_COVERAGE|REASONCODE|REASONDESCRIPTION,readable
imaging_studies.csv,744,13,True,False,False,False,False,Id|DATE|PATIENT|ENCOUNTER|SERIES_UID|BODYSITE_CODE|BODYSITE_DESCRIPTION|MODALITY_CODE|MODALITY_DESCRIPTION|INSTANCE_UID|SOP_CODE|SOP_DESCRIPTION|PROCEDURE_CODE,readable
immunizations.csv,1731,6,True,False,False,True,True,DATE|PATIENT|ENCOUNTER|CODE|DESCRIPTION|BASE_COST,readable
medications.csv,4522,13,True,True,True,True,True,START|STOP|PATIENT|PAYER|ENCOUNTER|CODE|DESCRIPTION|BASE_COST|PAYER_COVERAGE|DISPENSES|TOTALCOST|REASONCODE|REASONDESCRIPTION,readable
observations.csv,75343,9,True,False,False,True,True,DATE|PATIENT|ENCOUNTER|CATEGORY|CODE|DESCRIPTION|VALUE|UNITS|TYPE,readable
organizations.csv,278,11,False,False,False,False,False,Id|NAME|ADDRESS|CITY|STATE|ZIP|LAT|LON|PHONE|REVENUE|UTILIZATION,readable
patients.csv,108,28,False,False,False,False,False,Id|BIRTHDATE|DEATHDATE|SSN|DRIVERS|PASSPORT|PREFIX|FIRST|MIDDLE|LAST|SUFFIX|MAIDEN|MARITAL|RACE|ETHNICITY|GENDER|BIRTHPLACE|ADDRESS|CITY|STATE|COUNTY|FIPS|ZIP|LAT|LON|HEALTHCARE_EXPENSES|HEALTHCARE_COVERAGE|INCOME,readable
payer_transitions.csv,3806,8,True,False,False,False,False,PATIENT|MEMBERID|START_DATE|END_DATE|PAYER|SECONDARY_PAYER|PLAN_OWNERSHIP|OWNER_NAME,readable
payers.csv,10,22,False,False,False,False,False,Id|NAME|OWNERSHIP|ADDRESS|CITY|STATE_HEADQUARTERED|ZIP|PHONE|AMOUNT_COVERED|AMOUNT_UNCOVERED|REVENUE|COVERED_ENCOUNTERS|UNCOVERED_ENCOUNTERS|COVERED_MEDICATIONS|UNCOVERED_MEDICATIONS|COVERED_PROCEDURES|UNCOVERED_PROCEDURES|COVERED_IMMUNIZATIONS|UNCOVERED_IMMUNIZATIONS|UNIQUE_CUSTOMERS|QOLS_AVG|MEMBER_MONTHS,readable
procedures.csv,15985,10,True,True,True,True,True,START|STOP|PATIENT|ENCOUNTER|SYSTEM|CODE|DESCRIPTION|BASE_COST|REASONCODE|REASONDESCRIPTION,readable
providers.csv,278,13,False,False,False,False,False,Id|ORGANIZATION|NAME|GENDER|SPECIALITY|ADDRESS|CITY|STATE|ZIP|LAT|LON|ENCOUNTERS|PROCEDURES,readable
supplies.csv,2754,6,True,False,False,True,True,DATE|PATIENT|ENCOUNTER|CODE|DESCRIPTION|QUANTITY,readable
