member_id,STATE_NORM,COUNTY_NORM,ZIP_NORM
531968a3-50fe-09ba-d7cc-ca438ebf9d69,MASSACHUSETTS,PLYMOUTH,
80c747ab-dc05-2bca-dafa-e2aa58619442,MASSACHUSETTS,MIDDLESEX,
a00b5c95-fed5-f472-749b-6b3140ead250,MASSACHUSETTS,ESSEX,
a172af40-3eeb-e33a-f4eb-bcf071ed5299,MASSACHUSETTS,WORCESTER,
34b8aa06-9904-df2f-e571-c6c5e767f24b,MASSACHUSETTS,WORCESTER,
885c1eeb-1b4c-8a3a-bfc7-a68897e470a6,MASSACHUSETTS,FRANKLIN,
09c92ce0-6ff1-7234-956d-33795ad6648c,MASSACHUSETTS,BRISTOL,
5d84e6a3-b4bd-63d6-57c5-cada0916490d,MASSACHUSETTS,DUKES,
373e1deb-b6b2-b528-372e-4d43362376b0,MASSACHUSETTS,MIDDLESEX,
b672cf7a-e1b1-2e21-72e8-b29fca4b4e33,MASSACHUSETTS,HAMPDEN,
bb185e06-2cea-6f9c-cb59-9c05ffad11ef,MASSACHUSETTS,WORCESTER,
33d283d8-d724-4c5d-9eb2-aab318712e12,MASSACHUSETTS,BRISTOL,
1e56d360-30c5-5a41-8dd8-e3f74deed263,MASSACHUSETTS,HAMPDEN,
a0873afa-1674-1ef3-ac16-c39738e22bba,MASSACHUSETTS,MIDDLESEX,
2f343369-4f65-e13e-d15b-0bc343fe7d38,MASSACHUSETTS,MIDDLESEX,
9a57c612-581f-1c85-d505-c6c44e983d32,MASSACHUSETTS,PLYMOUTH,
0fb515d6-ec2d-33f3-512e-7615b6e3091d,MASSACHUSETTS,WORCESTER,
dbf17e44-1f14-fd36-e663-a7e2afb52481,MASSACHUSETTS,NORFOLK,
f540af27-06ff-0981-5685-24c08ab33443,MASSACHUSETTS,DUKES,
e27ebe5d-6514-4fb0-f1d6-d3baf7bf0ed6,MASSACHUSETTS,WORCESTER,
5b24c87b-6223-f5b4-51e9-82051159bd1d,MASSACHUSETTS,WORCESTER,
